docID, likelihood 
220, -625.0021756489 
221, -636.2920063939 
222, -602.3415509645 
223, -532.6617910407 
224, -633.0586848558 
225, -624.3602527552 
226, -771.6609711538 
227, -848.5485438488 
228, -961.7401610694 
229, -693.6872598079 
230, -612.6975204957 
231, -593.1142328527 
232, -577.5855715503 
233, -730.9413572099 
234, -503.8374054734 
235, -642.9121195619 
236, -686.2305290575 
237, -758.6581762414 
238, -629.5214641982 
239, -665.8194296628 
240, -545.0789418658 
241, -645.9321824939 
242, -626.5330003720 
243, -588.4204564035 
244, -617.1675388793 
245, -615.3546271325 
246, -772.6539402849 
247, -812.3502701406 
248, -549.1642729933 
249, -595.9057966743 
250, -525.6606036940 
251, -566.3249420483 
252, -646.9299944463 
253, -653.8578157798 
254, -700.5203980218 
255, -644.3042305312 
256, -758.7289032545 
257, -458.0706613610 
258, -598.6820615624 
259, -639.7835416391 
260, -516.6610870005 
261, -502.0085407784 
262, -634.2844685646 
263, -617.0447339095 
264, -598.4522610109 
265, -536.6886035964 
266, -728.0394987598 
267, -862.4918679639 
268, -271.4941434089 
269, -874.5124195307 
270, -1051.9417157313 
271, -618.2784599085 
272, -702.0844469527 
273, -926.8738842343 
274, -715.8502111862 
275, -525.0642701253 
276, -783.7482682515 
277, -600.7103332390 
278, -585.5106453748 
279, -696.7651311915 
280, -712.0065333047 
281, -685.1388549667 
282, -620.4338943549 
283, -539.9667417468 
284, -587.9037758810 
285, -570.7775000902 
286, -658.2278809613 
287, -477.2961025898 
288, -522.0060456012 
289, -768.5609186049 
290, -732.4236174197 
291, -712.2412614235 
292, -619.5233345729 
293, -593.1883106803 
294, -595.6785328964 
295, -746.8807372190 
296, -777.6698099988 
297, -601.1518359114 
298, -660.0294417924 
299, -892.9340821002 
300, -506.2439051582 
301, -867.8953347584 
302, -759.3055513338 
303, -955.6079167568 
304, -565.2420668684 
305, -1222.5499751350 
306, -504.3797808218 
307, -701.3389937288 
308, -648.0869342997 
309, -786.5386619156 
310, -930.1215741147 
311, -734.3790671442 
312, -589.1376354906 
313, -773.4510245936 
314, -608.9688506211 
315, -1032.0058244823 
316, -622.2063615156 
317, -786.4288092963 
318, -812.0275694171 
319, -798.8484082155 
320, -638.3547668429 
321, -572.5573448723 
322, -842.3237165283 
323, -864.5804782882 
324, -924.0718534246 
325, -750.7507132756 
326, -677.5771384504 
327, -672.3944238173 
328, -615.2927114017 
329, -787.8254653883 
330, -638.8439613737 
331, -740.5963051565 
332, -903.8446230740 
333, -655.0923788601 
334, -914.3027164559 
335, -728.5044132373 
336, -670.3205790178 
337, -594.6204343397 
338, -652.0338608038 
339, -730.4867916940 
340, -696.2618946368 
341, -734.5271505146 
342, -717.7624886385 
343, -678.8785717433 
344, -684.4319301809 
345, -832.2150191752 
346, -790.4705396545 
347, -714.7688044924 
348, -562.0733169820 
349, -657.6890737517 
350, -569.2720874245 
351, -707.4735211658 
352, -782.2232326684 
353, -714.2032847472 
354, -690.4894796904 
355, -673.1951694405 
356, -739.0683075733 
357, -738.7208026192 
358, -631.1411230369 
359, -557.7038834442 
360, -1061.0568159861 
361, -884.6668757436 
362, -836.9134942062 
363, -758.7765876601 
364, -480.4549343609 
365, -737.2827751999 
366, -595.6849357694 
367, -562.8991102306 
368, -652.3999070586 
369, -765.3828910720 
370, -712.0147452849 
371, -594.8091945602 
372, -559.5054560336 
373, -702.2776834792 
374, -532.1307489255 
375, -599.0987329272 
376, -460.0899494569 
377, -728.4726951106 
378, -738.5043022125 
379, -613.8202453309 
380, -692.4102281318 
381, -789.0994385784 
382, -599.9709126777 
383, -589.8442024246 
384, -684.9990027931 
385, -542.0676308978 
386, -774.7166981045 
387, -884.3143067984 
388, -768.0778940617 
389, -713.4344178297 
390, -495.5046360232 
391, -719.2422440768 
392, -610.8460189981 
393, -730.6543011027 
394, -603.2687726188 
395, -730.5152104703 
396, -782.8789662896 
397, -795.0421848585 
398, -732.1681710321 
399, -680.8003470149 
400, -1051.4755891435 
